"productkey","productalternatekey","productsubcategorykey","product","productsubcategoryalternatekey","subcategory","productcategorykey","productcategoryalternatekey","category"
335,"BK-R50B-60",2,"Road-650 Black, 60",2,"Road Bikes",1,1,"Bikes"
606,"BK-R19B-52",2,"Road-750 Black, 52",2,"Road Bikes",1,1,"Bikes"
605,"BK-R19B-48",2,"Road-750 Black, 48",2,"Road Bikes",1,1,"Bikes"
604,"BK-R19B-44",2,"Road-750 Black, 44",2,"Road Bikes",1,1,"Bikes"
600,"BK-M18B-52",1,"Mountain-500 Black, 52",1,"Mountain Bikes",1,1,"Bikes"
599,"BK-M18B-48",1,"Mountain-500 Black, 48",1,"Mountain Bikes",1,1,"Bikes"
598,"BK-M18B-44",1,"Mountain-500 Black, 44",1,"Mountain Bikes",1,1,"Bikes"
597,"BK-M18B-42",1,"Mountain-500 Black, 42",1,"Mountain Bikes",1,1,"Bikes"
596,"BK-M18B-40",1,"Mountain-500 Black, 40",1,"Mountain Bikes",1,1,"Bikes"
595,"BK-M18S-52",1,"Mountain-500 Silver, 52",1,"Mountain Bikes",1,1,"Bikes"
594,"BK-M18S-48",1,"Mountain-500 Silver, 48",1,"Mountain Bikes",1,1,"Bikes"
593,"BK-M18S-44",1,"Mountain-500 Silver, 44",1,"Mountain Bikes",1,1,"Bikes"
592,"BK-M18S-42",1,"Mountain-500 Silver, 42",1,"Mountain Bikes",1,1,"Bikes"
591,"BK-M18S-40",1,"Mountain-500 Silver, 40",1,"Mountain Bikes",1,1,"Bikes"
590,"BK-M38S-46",1,"Mountain-400-W Silver, 46",1,"Mountain Bikes",1,1,"Bikes"
589,"BK-M38S-42",1,"Mountain-400-W Silver, 42",1,"Mountain Bikes",1,1,"Bikes"
588,"BK-M38S-40",1,"Mountain-400-W Silver, 40",1,"Mountain Bikes",1,1,"Bikes"
587,"BK-M38S-38",1,"Mountain-400-W Silver, 38",1,"Mountain Bikes",1,1,"Bikes"
586,"BK-T18U-50",3,"Touring-3000 Blue, 50",3,"Touring Bikes",1,1,"Bikes"
585,"BK-T18U-44",3,"Touring-3000 Blue, 44",3,"Touring Bikes",1,1,"Bikes"
584,"BK-R19B-58",2,"Road-750 Black, 58",2,"Road Bikes",1,1,"Bikes"
583,"BK-R79Y-48",2,"Road-350-W Yellow, 48",2,"Road Bikes",1,1,"Bikes"
582,"BK-R79Y-44",2,"Road-350-W Yellow, 44",2,"Road Bikes",1,1,"Bikes"
581,"BK-R79Y-42",2,"Road-350-W Yellow, 42",2,"Road Bikes",1,1,"Bikes"
580,"BK-R79Y-40",2,"Road-350-W Yellow, 40",2,"Road Bikes",1,1,"Bikes"
579,"BK-T44U-54",3,"Touring-2000 Blue, 54",3,"Touring Bikes",1,1,"Bikes"
578,"BK-T44U-50",3,"Touring-2000 Blue, 50",3,"Touring Bikes",1,1,"Bikes"
577,"BK-T44U-46",3,"Touring-2000 Blue, 46",3,"Touring Bikes",1,1,"Bikes"
576,"BK-T79U-60",3,"Touring-1000 Blue, 60",3,"Touring Bikes",1,1,"Bikes"
575,"BK-T79U-54",3,"Touring-1000 Blue, 54",3,"Touring Bikes",1,1,"Bikes"
574,"BK-T79U-50",3,"Touring-1000 Blue, 50",3,"Touring Bikes",1,1,"Bikes"
573,"BK-T79U-46",3,"Touring-1000 Blue, 46",3,"Touring Bikes",1,1,"Bikes"
572,"BK-T18Y-62",3,"Touring-3000 Yellow, 62",3,"Touring Bikes",1,1,"Bikes"
571,"BK-T18Y-58",3,"Touring-3000 Yellow, 58",3,"Touring Bikes",1,1,"Bikes"
570,"BK-T18Y-54",3,"Touring-3000 Yellow, 54",3,"Touring Bikes",1,1,"Bikes"
569,"BK-T18Y-50",3,"Touring-3000 Yellow, 50",3,"Touring Bikes",1,1,"Bikes"
568,"BK-T18Y-44",3,"Touring-3000 Yellow, 44",3,"Touring Bikes",1,1,"Bikes"
567,"BK-T18U-62",3,"Touring-3000 Blue, 62",3,"Touring Bikes",1,1,"Bikes"
566,"BK-T18U-58",3,"Touring-3000 Blue, 58",3,"Touring Bikes",1,1,"Bikes"
565,"BK-T18U-54",3,"Touring-3000 Blue, 54",3,"Touring Bikes",1,1,"Bikes"
564,"BK-T79Y-60",3,"Touring-1000 Yellow, 60",3,"Touring Bikes",1,1,"Bikes"
563,"BK-T79Y-54",3,"Touring-1000 Yellow, 54",3,"Touring Bikes",1,1,"Bikes"
562,"BK-T79Y-50",3,"Touring-1000 Yellow, 50",3,"Touring Bikes",1,1,"Bikes"
561,"BK-T79Y-46",3,"Touring-1000 Yellow, 46",3,"Touring Bikes",1,1,"Bikes"
560,"BK-T44U-60",3,"Touring-2000 Blue, 60",3,"Touring Bikes",1,1,"Bikes"
390,"BK-R64Y-48",2,"Road-550-W Yellow, 48",2,"Road Bikes",1,1,"Bikes"
389,"BK-R64Y-48",2,"Road-550-W Yellow, 48",2,"Road Bikes",1,1,"Bikes"
388,"BK-R64Y-44",2,"Road-550-W Yellow, 44",2,"Road Bikes",1,1,"Bikes"
387,"BK-R64Y-44",2,"Road-550-W Yellow, 44",2,"Road Bikes",1,1,"Bikes"
386,"BK-R64Y-42",2,"Road-550-W Yellow, 42",2,"Road Bikes",1,1,"Bikes"
385,"BK-R64Y-42",2,"Road-550-W Yellow, 42",2,"Road Bikes",1,1,"Bikes"
384,"BK-R64Y-40",2,"Road-550-W Yellow, 40",2,"Road Bikes",1,1,"Bikes"
383,"BK-R64Y-40",2,"Road-550-W Yellow, 40",2,"Road Bikes",1,1,"Bikes"
382,"BK-R64Y-38",2,"Road-550-W Yellow, 38",2,"Road Bikes",1,1,"Bikes"
381,"BK-R64Y-38",2,"Road-550-W Yellow, 38",2,"Road Bikes",1,1,"Bikes"
380,"BK-R89B-58",2,"Road-250 Black, 58",2,"Road Bikes",1,1,"Bikes"
379,"BK-R89B-58",2,"Road-250 Black, 58",2,"Road Bikes",1,1,"Bikes"
378,"BK-R89B-52",2,"Road-250 Black, 52",2,"Road Bikes",1,1,"Bikes"
377,"BK-R89B-52",2,"Road-250 Black, 52",2,"Road Bikes",1,1,"Bikes"
376,"BK-R89B-48",2,"Road-250 Black, 48",2,"Road Bikes",1,1,"Bikes"
375,"BK-R89B-48",2,"Road-250 Black, 48",2,"Road Bikes",1,1,"Bikes"
374,"BK-R89B-44",2,"Road-250 Black, 44",2,"Road Bikes",1,1,"Bikes"
373,"BK-R89B-44",2,"Road-250 Black, 44",2,"Road Bikes",1,1,"Bikes"
372,"BK-R89R-58",2,"Road-250 Red, 58",2,"Road Bikes",1,1,"Bikes"
371,"BK-R89R-58",2,"Road-250 Red, 58",2,"Road Bikes",1,1,"Bikes"
370,"BK-R89R-52",2,"Road-250 Red, 52",2,"Road Bikes",1,1,"Bikes"
369,"BK-R89R-48",2,"Road-250 Red, 48",2,"Road Bikes",1,1,"Bikes"
368,"BK-R89R-44",2,"Road-250 Red, 44",2,"Road Bikes",1,1,"Bikes"
367,"BK-M47B-48",1,"Mountain-300 Black, 48",1,"Mountain Bikes",1,1,"Bikes"
366,"BK-M47B-44",1,"Mountain-300 Black, 44",1,"Mountain Bikes",1,1,"Bikes"
365,"BK-M47B-40",1,"Mountain-300 Black, 40",1,"Mountain Bikes",1,1,"Bikes"
364,"BK-M47B-38",1,"Mountain-300 Black, 38",1,"Mountain Bikes",1,1,"Bikes"
363,"BK-M68B-46",1,"Mountain-200 Black, 46",1,"Mountain Bikes",1,1,"Bikes"
362,"BK-M68B-46",1,"Mountain-200 Black, 46",1,"Mountain Bikes",1,1,"Bikes"
361,"BK-M68B-42",1,"Mountain-200 Black, 42",1,"Mountain Bikes",1,1,"Bikes"
360,"BK-M68B-42",1,"Mountain-200 Black, 42",1,"Mountain Bikes",1,1,"Bikes"
359,"BK-M68B-38",1,"Mountain-200 Black, 38",1,"Mountain Bikes",1,1,"Bikes"
358,"BK-M68B-38",1,"Mountain-200 Black, 38",1,"Mountain Bikes",1,1,"Bikes"
357,"BK-M68S-46",1,"Mountain-200 Silver, 46",1,"Mountain Bikes",1,1,"Bikes"
356,"BK-M68S-46",1,"Mountain-200 Silver, 46",1,"Mountain Bikes",1,1,"Bikes"
355,"BK-M68S-42",1,"Mountain-200 Silver, 42",1,"Mountain Bikes",1,1,"Bikes"
354,"BK-M68S-42",1,"Mountain-200 Silver, 42",1,"Mountain Bikes",1,1,"Bikes"
353,"BK-M68S-38",1,"Mountain-200 Silver, 38",1,"Mountain Bikes",1,1,"Bikes"
352,"BK-M68S-38",1,"Mountain-200 Silver, 38",1,"Mountain Bikes",1,1,"Bikes"
351,"BK-M82B-48",1,"Mountain-100 Black, 48",1,"Mountain Bikes",1,1,"Bikes"
350,"BK-M82B-44",1,"Mountain-100 Black, 44",1,"Mountain Bikes",1,1,"Bikes"
349,"BK-M82B-42",1,"Mountain-100 Black, 42",1,"Mountain Bikes",1,1,"Bikes"
348,"BK-M82B-38",1,"Mountain-100 Black, 38",1,"Mountain Bikes",1,1,"Bikes"
347,"BK-M82S-48",1,"Mountain-100 Silver, 48",1,"Mountain Bikes",1,1,"Bikes"
346,"BK-M82S-44",1,"Mountain-100 Silver, 44",1,"Mountain Bikes",1,1,"Bikes"
345,"BK-M82S-42",1,"Mountain-100 Silver, 42",1,"Mountain Bikes",1,1,"Bikes"
344,"BK-M82S-38",1,"Mountain-100 Silver, 38",1,"Mountain Bikes",1,1,"Bikes"
343,"BK-R50B-52",2,"Road-650 Black, 52",2,"Road Bikes",1,1,"Bikes"
342,"BK-R50B-52",2,"Road-650 Black, 52",2,"Road Bikes",1,1,"Bikes"
341,"BK-R50B-48",2,"Road-650 Black, 48",2,"Road Bikes",1,1,"Bikes"
340,"BK-R50B-48",2,"Road-650 Black, 48",2,"Road Bikes",1,1,"Bikes"
339,"BK-R50B-44",2,"Road-650 Black, 44",2,"Road Bikes",1,1,"Bikes"
338,"BK-R50B-44",2,"Road-650 Black, 44",2,"Road Bikes",1,1,"Bikes"
337,"BK-R50B-62",2,"Road-650 Black, 62",2,"Road Bikes",1,1,"Bikes"
336,"BK-R50B-62",2,"Road-650 Black, 62",2,"Road Bikes",1,1,"Bikes"
334,"BK-R50B-60",2,"Road-650 Black, 60",2,"Road Bikes",1,1,"Bikes"
333,"BK-R50B-58",2,"Road-650 Black, 58",2,"Road Bikes",1,1,"Bikes"
332,"BK-R50B-58",2,"Road-650 Black, 58",2,"Road Bikes",1,1,"Bikes"
331,"BK-R50R-52",2,"Road-650 Red, 52",2,"Road Bikes",1,1,"Bikes"
330,"BK-R50R-52",2,"Road-650 Red, 52",2,"Road Bikes",1,1,"Bikes"
329,"BK-R50R-48",2,"Road-650 Red, 48",2,"Road Bikes",1,1,"Bikes"
328,"BK-R50R-48",2,"Road-650 Red, 48",2,"Road Bikes",1,1,"Bikes"
327,"BK-R50R-44",2,"Road-650 Red, 44",2,"Road Bikes",1,1,"Bikes"
326,"BK-R50R-44",2,"Road-650 Red, 44",2,"Road Bikes",1,1,"Bikes"
325,"BK-R50R-62",2,"Road-650 Red, 62",2,"Road Bikes",1,1,"Bikes"
324,"BK-R50R-62",2,"Road-650 Red, 62",2,"Road Bikes",1,1,"Bikes"
323,"BK-R50R-60",2,"Road-650 Red, 60",2,"Road Bikes",1,1,"Bikes"
322,"BK-R50R-60",2,"Road-650 Red, 60",2,"Road Bikes",1,1,"Bikes"
321,"BK-R50R-58",2,"Road-650 Red, 58",2,"Road Bikes",1,1,"Bikes"
320,"BK-R50R-58",2,"Road-650 Red, 58",2,"Road Bikes",1,1,"Bikes"
319,"BK-R68R-52",2,"Road-450 Red, 52",2,"Road Bikes",1,1,"Bikes"
318,"BK-R68R-48",2,"Road-450 Red, 48",2,"Road Bikes",1,1,"Bikes"
317,"BK-R68R-44",2,"Road-450 Red, 44",2,"Road Bikes",1,1,"Bikes"
316,"BK-R68R-60",2,"Road-450 Red, 60",2,"Road Bikes",1,1,"Bikes"
315,"BK-R68R-58",2,"Road-450 Red, 58",2,"Road Bikes",1,1,"Bikes"
314,"BK-R93R-56",2,"Road-150 Red, 56",2,"Road Bikes",1,1,"Bikes"
313,"BK-R93R-52",2,"Road-150 Red, 52",2,"Road Bikes",1,1,"Bikes"
312,"BK-R93R-48",2,"Road-150 Red, 48",2,"Road Bikes",1,1,"Bikes"
311,"BK-R93R-44",2,"Road-150 Red, 44",2,"Road Bikes",1,1,"Bikes"
310,"BK-R93R-62",2,"Road-150 Red, 62",2,"Road Bikes",1,1,"Bikes"
531,"FR-M21B-42",12,"LL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
210,"FR-R92B-58",14,"HL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
211,"FR-R92R-58",14,"HL Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
238,"FR-R92R-62",14,"HL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
239,"FR-R92R-62",14,"HL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
240,"FR-R92R-62",14,"HL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
241,"FR-R92R-44",14,"HL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
242,"FR-R92R-44",14,"HL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
243,"FR-R92R-44",14,"HL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
244,"FR-R92R-48",14,"HL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
245,"FR-R92R-48",14,"HL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
246,"FR-R92R-48",14,"HL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
247,"FR-R92R-52",14,"HL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
248,"FR-R92R-52",14,"HL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
249,"FR-R92R-52",14,"HL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
250,"FR-R92R-56",14,"HL Road Frame - Red, 56",14,"Road Frames",2,2,"Components"
251,"FR-R92R-56",14,"HL Road Frame - Red, 56",14,"Road Frames",2,2,"Components"
252,"FR-R92R-56",14,"HL Road Frame - Red, 56",14,"Road Frames",2,2,"Components"
253,"FR-R38B-58",14,"LL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
254,"FR-R38B-58",14,"LL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
255,"FR-R38B-58",14,"LL Road Frame - Black, 58",14,"Road Frames",2,2,"Components"
256,"FR-R38B-60",14,"LL Road Frame - Black, 60",14,"Road Frames",2,2,"Components"
257,"FR-R38B-60",14,"LL Road Frame - Black, 60",14,"Road Frames",2,2,"Components"
258,"FR-R38B-60",14,"LL Road Frame - Black, 60",14,"Road Frames",2,2,"Components"
259,"FR-R38B-62",14,"LL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
260,"FR-R38B-62",14,"LL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
261,"FR-R38B-62",14,"LL Road Frame - Black, 62",14,"Road Frames",2,2,"Components"
262,"FR-R38R-44",14,"LL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
263,"FR-R38R-44",14,"LL Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
264,"FR-R38R-48",14,"LL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
265,"FR-R38R-48",14,"LL Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
266,"FR-R38R-52",14,"LL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
267,"FR-R38R-52",14,"LL Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
268,"FR-R38R-58",14,"LL Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
269,"FR-R38R-58",14,"LL Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
270,"FR-R38R-60",14,"LL Road Frame - Red, 60",14,"Road Frames",2,2,"Components"
271,"FR-R38R-60",14,"LL Road Frame - Red, 60",14,"Road Frames",2,2,"Components"
272,"FR-R38R-62",14,"LL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
273,"FR-R38R-62",14,"LL Road Frame - Red, 62",14,"Road Frames",2,2,"Components"
274,"FR-R72R-44",14,"ML Road Frame - Red, 44",14,"Road Frames",2,2,"Components"
275,"FR-R72R-48",14,"ML Road Frame - Red, 48",14,"Road Frames",2,2,"Components"
276,"FR-R72R-52",14,"ML Road Frame - Red, 52",14,"Road Frames",2,2,"Components"
277,"FR-R72R-58",14,"ML Road Frame - Red, 58",14,"Road Frames",2,2,"Components"
278,"FR-R72R-60",14,"ML Road Frame - Red, 60",14,"Road Frames",2,2,"Components"
279,"FR-R38B-44",14,"LL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
280,"FR-R38B-44",14,"LL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
281,"FR-R38B-44",14,"LL Road Frame - Black, 44",14,"Road Frames",2,2,"Components"
282,"FR-R38B-48",14,"LL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
283,"FR-R38B-48",14,"LL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
284,"FR-R38B-48",14,"LL Road Frame - Black, 48",14,"Road Frames",2,2,"Components"
285,"FR-R38B-52",14,"LL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
286,"FR-R38B-52",14,"LL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
287,"FR-R38B-52",14,"LL Road Frame - Black, 52",14,"Road Frames",2,2,"Components"
288,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
289,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
290,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42",12,"Mountain Frames",2,2,"Components"
291,"FR-M94S-44",12,"HL Mountain Frame - Silver, 44",12,"Mountain Frames",2,2,"Components"
292,"FR-M94S-52",12,"HL Mountain Frame - Silver, 48",12,"Mountain Frames",2,2,"Components"
293,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46",12,"Mountain Frames",2,2,"Components"
294,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46",12,"Mountain Frames",2,2,"Components"
295,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46",12,"Mountain Frames",2,2,"Components"
296,"FR-M94B-42",12,"HL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
297,"FR-M94B-42",12,"HL Mountain Frame - Black, 42",12,"Mountain Frames",2,2,"Components"
